"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Dominican Republic","DOM","Land under cereal production (hectares)","AG.LND.CREL.HA","","93320","91000","91400","96600","103000","104000","108625","118736","115600","112928","104000","96800","95700","101332","118506","152460","152851","154449","149753","150747","146215","131252","146607","185795","168012","146304","161772","147962","154952","122179","132168","103306","124098","114623","143425","137453","142802","142964","151804","146693","179058","176390","164037","162095","179069","174845","178540","180503","206348","199832","198098","188794","191727","188610","184342","190252","200873","219424","208491","211928","221838","232034","","",
"Algeria","DZA","Land under cereal production (hectares)","AG.LND.CREL.HA","","2708623","2911300","2891420","2805810","2862350","1921790","2600270","3017870","3012480","3228170","2952400","3517530","3232850","2973050","3171240","3349880","2780260","2624990","2886660","3181380","2836390","2569300","2227560","2670070","3198670","2871100","2719150","1808540","2638170","2365999","3418278","3530507","1959520","1287357","2579551","3663945","1115670","3575718","1888946","1058184","2402748","1845217","2901720","3000731","2350627","2672232","2873873","1485477","3176367","2856567","2584734","3062449","2709432","2509193","2686241","3376449","3512157","3107776","3187485","2889582","1941867","2929807","","",
"East Asia & Pacific (excluding high income)","EAP","Land under cereal production (hectares)","AG.LND.CREL.HA","","125382347","126900910","126972009","131203379","129236729","133203763","130422101","130051114","130894738","133180763","136441103","134761863","137950271","137967688","139810241","139947803","139698934","141632804","139300213","140125351","138382085","134634161","138655164","138559928","135919493","137533108","135785195","138018904","140523400","142252127","141643027","141742884","137914104","136805821","140467190","143919526","143569296","143652748","145709825","138828429","135977502","134238277","130898970","133999698","137722367","141189287","143047721","145034614","148010222","150189933","151083422","152757270","153700768","153327687","160357527","159680387","159724279","159502999","153618746","154018930","156750034","156671969","","",
"Early-demographic dividend","EAR","Land under cereal production (hectares)","AG.LND.CREL.HA","","196708416","199878742","202599935","207580364","204986985","206626631","212989801","218903193","219884716","221128780","219570723","215189665","221457981","217905243","222045002","223098938","222025677","224347196","221055389","225225991","232497750","225029687","232810823","231215363","232419543","231376463","225896737","231070649","233146971","231131964","227157183","229339830","228870904","232036277","234595932","238999166","238145141","237861904","237240116","238328255","237621396","230488349","238498209","238884415","243075259","240033936","244303887","244335401","240553427","244905305","245414398","244646731","245378133","246043528","245866165","244326179","250453992","247884925","244486706","251054634","251633250","250730820","","",
"East Asia & Pacific","EAS","Land under cereal production (hectares)","AG.LND.CREL.HA","","141735181","143904201","143940481","148667427","146717635","152165482","149673063","151493417","150886917","150410097","154299400","152334059","156649357","155705366","158461174","158999540","160131506","162336183","160294918","160961884","160491396","155960611","162698766","161526749","158220273","158353666","154546776","156231812","158599256","160330499","159529445","158029231","155414539","154735122","156950851","162631948","164071919","163354177","166353907","159344200","157409803","155453115","151624606","157518465","161494865","163814992","164576603","168563044","172063303","173662624","173428709","175479488","175366054","174567333","181930778","179865234","181579482","179193095","173192651","173158247","179724397","179254080","","",
"Europe & Central Asia (excluding high income)","ECA","Land under cereal production (hectares)","AG.LND.CREL.HA","","13213064","13297882","13315425","13272158","13283238","13302193","13346535","13454650","13626749","13486732","13604903","13375020","13027375","13521360","13934550","13897870","13931950","13708750","14062000","13535500","13999600","13779085","13672599","13700404","14062650","14097258","14045550","14076100","13837504","13961120","14109235","55849070","56780523","53547650","51092504","49523554","50823383","45965830","45047980","46553927","49506994","50202064","47774317","50997100","50631499","51342116","50686088","52549576","54629071","51909198","53336436","51199732","53427848","51082573","50939579","50977803","50275717","49886308","50952870","51821202","52448666","48597492","","",
"Europe & Central Asia","ECS","Land under cereal production (hectares)","AG.LND.CREL.HA","","77812505","78156166","77562650","77739690","77561769","76898509","76921416","77885696","78007816","76692662","77355775","77349270","75808738","76689420","76488561","76681436","75815240","76821219","76745593","76516404","76009083","76165700","75599831","76177829","75808761","75772263","74684649","74647257","74627631","73038519","73619990","176157188","176849724","168510830","161518127","158470920","163432555","144909873","142098667","149780887","155066941","155466927","144204857","153575284","152432360","150511503","149207748","158869140","156539827","141308862","151467540","146812739","152312489","152002917","151949027","153016214","150653899","147784703","151707088","152291461","152073122","148315295","","",
"Ecuador","ECU","Land under cereal production (hectares)","AG.LND.CREL.HA","","504534","567973","598034","650732","640901","591684","706492","587030","614933","595413","612063","626234","494759","495507","542225","564825","461054","330304","396097","414747","444800","418234","358299","442254","431368","817236","853392","845168","819720","802193","663880","918400","970500","991680","958070","1016054","1043439","759668","869797","817509","865736","845030","785161","892221","810795","805174","867353","767151","822099","879497","954785","899018","939988","875088","824670","705783","742875","687800","604969","686950","734275","722902","","",
"Egypt, Arab Rep.","EGY","Land under cereal production (hectares)","AG.LND.CREL.HA","","1723824","1975708","1944683","1907398","1625595","1817474","1894358","2054000","1920028","1911633","1927747","1894562","1880046","2000390","2043762","2077889","1899889","2043952","2034056","1978165","2009210","2027218","2013325","1944845","1886100","1864080","1930870","1941599","2085271","2283426","2470059","2477121","2495725","2561268","2726636","2545317","2735816","2642833","2707099","2761724","2614460","2712234","2751930","2755787","2975160","3002359","2911543","3186032","3179076","2992580","3037991","3268112","3311233","3291950","3251394","3224925","3097555","2592349","3623430","3134051","3146954","3226804","","",
"Euro area","EMU","Land under cereal production (hectares)","AG.LND.CREL.HA","","36293491","37094202","36488196","36494598","36406957","35719147","35911171","36524545","36434039","36353436","36237802","36257112","35883682","36339898","35690992","35787517","34730335","36108335","35655880","35939098","35267753","35452627","35091611","35321771","34910064","34633772","34141828","33939434","34147577","32929931","32823235","34917930","33564234","32891781","33329065","34299749","35440023","34872886","33846823","35027567","34412879","35159270","34247183","34921132","34328880","33443174","33448925","35459348","33818160","32674321","32569660","33307046","33558360","33546758","33284514","32962032","31792239","31446190","32128320","31426500","31711070","31304480","","",
"Eritrea","ERI","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338500","330365","298432","322179","374255","477043","427060","330175","343832","344627","405859","395213","442581","472402","492281","419412","453744","451578","481214","441076","444814","453365","477880","474686","475917","478058","476220","476732","477003","476652","","",
"Spain","ESP","Land under cereal production (hectares)","AG.LND.CREL.HA","","6929785","7252920","7228312","7048402","7093770","6954614","7207501","7382517","7350702","7432455","7436300","7495900","7298300","7518800","7195800","7230878","7245747","7513302","7278067","7526907","7367284","7452404","7432467","7587089","7592592","7708338","7879247","7897362","7905859","7562567","7823778","7414530","6438388","6493765","6702545","6777458","6997814","6648975","6657872","6821909","6445908","6748051","6597060","6624481","6595493","6303597","6237884","6714826","6076837","6039751","5985488","6173208","6267941","6335536","6212892","6203674","6011747","6027610","5975710","6069230","6034580","5832980","","",
"Estonia","EST","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","426051","375100","319568","304298","288799","326586","354100","321000","329423","274162","259214","263166","260979","282094","280235","292271","309300","316413","275294","296941","290500","311100","332900","350400","351354","330677","350430","364370","370120","367110","361830","","",
"Ethiopia","ETH","Land under cereal production (hectares)","AG.LND.CREL.HA","","5882000","6093000","6113700","6156100","6228600","6290300","6348600","6424300","6499800","6580200","6670300","6429500","5282000","5351000","4464500","4426300","4230000","4454800","4628900","5079000","4711820","4629430","5029230","4715860","4814680","4991450","4950900","5054810","4891260","4957410","4444010","4356060","4040330","5392277","6532410","7736657","7504650","6319880","7463030","7184230","8001604","6648807","8486199","8722142","9365022","8105902","9196798","9880145","9991821","10400347","10268620","10351267","10627226","10833970","11018259","11303227","11327016","10390466","10478218","10571532","10582984","11236673","","",
"European Union","EUU","Land under cereal production (hectares)","AG.LND.CREL.HA","","61134117","61246784","60581480","60626874","60209819","59404618","59354388","60218580","60264353","59061923","59497657","59719129","58568720","58946951","58423451","58627283","57704664","58818031","58330357","58558328","57552003","57863087","57469240","57932117","57208234","57118787","56177733","56133022","56364142","54854183","55435502","56722373","57662671","57413157","57394568","57810806","60088653","58926753","56331417","58221835","58983035","58491047","56124552","58467721","57269857","55286036","54862696","58009148","56453362","53583814","54007685","55048503","55103582","55119399","54654389","54059756","52516768","52376670","53681550","52243520","52526030","51485510","","",
"Fragile and conflict affected situations","FCS","Land under cereal production (hectares)","AG.LND.CREL.HA","","44378728","46439889","46368101","46768234","47643729","44584796","47601614","45925286","51253983","49732584","48061089","46449029","48459869","48082347","46703544","49077893","45726099","45834240","43667417","46735793","45352360","45585502","47398526","46464596","53562814","57024199","54245115","60199840","59480293","61011976","64720439","80302426","80834359","87014271","86288897","84897577","88103627","86392681","84865142","83392982","87921123","87462726","91649633","89141921","102706901","99028312","100093054","102304617","96335457","103699582","103448444","98784481","107070415","108886999","99545221","108263258","105951495","107909058","107348076","109800557","108484594","104647677","","",
"Finland","FIN","Land under cereal production (hectares)","AG.LND.CREL.HA","","1029808","1059191","1056400","1124700","1131000","1131900","1180800","1191900","1156900","1196900","1212100","1228000","1247500","1306300","1310900","1360200","1192300","1232700","1235500","1170900","1164900","1169500","1219000","1192000","1254000","1196700","1136700","1214400","1193800","1212600","1024300","914500","926200","947700","977700","1079400","1117700","1157000","1134000","1172700","1160200","1195100","1192900","1127100","1185800","1150600","1131500","1193900","1133100","954200","1042500","1036300","1102000","1119000","1019800","998100","864500","906800","948000","951600","953790","977050","","",
"Fiji","FJI","Land under cereal production (hectares)","AG.LND.CREL.HA","","13060","12857","12263","10319","8287","8571","9819","10898","10813","11548","9376","9295","8454","9207","10395","9456","9572","9224","9871","9813","8919","10074","9731","11321","12165","12031","12655","14129","13761","13057","12765","10902","10039","8512","7458","9247","8376","8515","6673","5828","6361","5679","7076","6133","6789","6000","5733","5397","4307","3001","2886","2005","2570","1752","2475","3179","3354","2759","2390","2885","3043","3594","","",
"France","FRA","Land under cereal production (hectares)","AG.LND.CREL.HA","","9140300","9408120","9159745","9226542","9377274","9194306","9303635","9307842","9375548","9318100","9544110","9710900","9768200","9827100","9666100","9512100","9704305","9816421","9802300","9893542","9714700","9719100","9373400","9728400","9696400","9501600","9277452","9221092","9444447","9060354","9219799","9324538","8510030","8129016","8252948","8789940","9147848","9163034","8851319","9089764","8961009","9352047","8995422","9395474","9218409","9090572","9137030","9709048","9493933","9314258","9242949","9420575","9532772","9605505","9626902","9597185","9406524","9055320","9394040","8926700","9325710","9005010","","",
"Faroe Islands","FRO","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","36","37","39","124","124","126","128","129","131","133","135","136","137","138","138","140","143","146","150","153","152","161","171","163","164","164","165","166","166","166","166","","",
"Gabon","GAB","Land under cereal production (hectares)","AG.LND.CREL.HA","","5850","5980","5740","5894","5876","5850","5850","5850","5630","5865","5900","4500","5150","5600","5550","5650","6000","6580","6800","7100","7200","7600","8400","8839","9290","14290","15100","15740","14180","14900","14503","16368","17199","18395","18907","18423","15935","17130","17360","16500","16976","17280","20853","20089","22492","20994","20454","22519","25035","25552","26568","27120","27620","28120","28532","28928","29243","29731","29314","29424","29486","29410","","",
"United Kingdom","GBR","Land under cereal production (hectares)","AG.LND.CREL.HA","","3060601","3201027","3261715","3427053","3657704","3791421","3826331","3813396","3699550","3717376","3814169","3804376","3756082","3752402","3655432","3685000","3706043","3816928","3872808","3938550","3979000","4030000","3962000","4038000","4021000","4029000","3940700","3901000","3874255","3657300","3499695","3486261","3030448","3041955","3180707","3357622","3513146","3417892","3141102","3348084","3013619","3245214","3056295","3130046","2917266","2863222","2883382","3272480","3075443","3012536","3075987","3139924","3028452","3179197","3099217","3127630","3181631","3105815","3211351","3038280","3210819","3155713","","",
"Georgia","GEO","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248500","227797","233502","233152","252754","404684","369521","365395","305159","349670","355719","347198","330792","338185","202130","198022","223450","196900","173200","183847","172567","222950","186050","185472","171486","149384","146549","146432","155833","159136","156939","","",
"Ghana","GHA","Land under cereal production (hectares)","AG.LND.CREL.HA","","534518","520000","497756","514672","480680","594200","639305","608229","649182","999200","956300","834400","884700","930000","804900","843400","768000","645000","924000","939000","843000","822000","835000","1276000","1034000","880100","1126600","1045800","1168600","853000","1176400","1203500","1227200","1200700","1327000","1274130","1262930","1340140","1299931","1306632","1371450","1597603","1461534","1332720","1360035","1438036","1270218","1437191","1570744","1602099","1642866","1634973","1625970","1632045","1504191","1518801","1619488","1644881","1880045","1923044","2058044","2051393","","",
"Gibraltar","GIB","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Land under cereal production (hectares)","AG.LND.CREL.HA","","343985","349445","350145","363095","357310","351795","358570","354640","369020","376730","384775","392170","400615","410350","420500","431140","447060","462940","484300","506155","518535","531460","548955","588760","604755","623110","628645","653258","688490","729607","773242","819754","865540","892694","928700","973486","1020807","1070825","1123737","1206934","1160412","1241115","1335963","1432422","1531176","1627913","1718070","1870890","1772804","2415040","2450394","2812308","2884400","3028634","3147605","3157882","3238934","3295749","3093277","3028055","3002599","2977582","","",
"Gambia, The","GMB","Land under cereal production (hectares)","AG.LND.CREL.HA","","83994","89125","78530","80559","80761","81000","72500","85637","83709","86327","87327","82800","78500","55800","53900","46600","47900","57700","40100","52900","67700","75800","54500","60300","91960","79970","82700","83710","86962","89978","99748","77703","81548","81935","95135","93651","106825","102613","115800","134600","154717","143671","169181","189403","195719","207841","186202","238381","293340","319350","207523","242866","234062","231053","256195","233900","212854","160213","210000","162046","106514","114845","","",
"Guinea-Bissau","GNB","Land under cereal production (hectares)","AG.LND.CREL.HA","","97000","101000","101000","120000","100000","95000","83500","76000","69000","69000","68000","69500","76000","93000","122000","140000","134000","117000","127000","133000","166000","233000","208300","179000","127000","118000","100000","84809","97276","109273","110824","117166","126253","136322","143009","127759","126040","121313","140023","162150","160893","141900","133300","147231","160332","159459","136586","145611","139290","148586","137316","164149","188953","119173","148340","159119","152250","160194","186310","191878","207384","206926","","",
"Equatorial Guinea","GNQ","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Land under cereal production (hectares)","AG.LND.CREL.HA","","1772952","1758547","1644087","1766280","1779520","1716990","1690617","1708430","1635540","1601300","1633500","1565942","1519700","1566300","1549300","1538400","1506100","1543800","1576490","1606400","1618400","1618255","1571900","1533050","1489490","1467152","1475856","1456030","1448664","1470345","1499200","1396100","1367701","1355474","1306674","1318183","1308064","1287094","1248013","1273407","1283550","1287733","1274545","1261582","1252779","1195590","1173584","1232843","1229150","1161764","1120784","1134261","1109712","994750","1019535","938176","853072","787980","728140","739890","770910","773280","","",
"Grenada","GRD","Land under cereal production (hectares)","AG.LND.CREL.HA","","630","630","630","630","630","620","620","620","600","600","570","520","450","554","500","540","630","730","606","500","450","470","414","414","410","250","250","250","255","260","265","330","390","350","360","330","300","288","275","304","307","318","318","315","320","300","320","328","333","340","347","350","400","413","353","389","387","387","381","384","386","388","","",
"Greenland","GRL","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Land under cereal production (hectares)","AG.LND.CREL.HA","","694998","715445","778597","795959","759650","747690","789864","780814","782095","757427","754153","758295","570273","655675","651477","727213","737365","698389","630960","746640","769250","746540","663268","712590","772780","785970","856670","734830","696056","718498","763420","822740","797481","684152","608595","638183","639351","692565","651413","653417","635125","644491","642961","637771","625533","619592","723868","891456","858887","859650","877053","885789","900955","908503","916401","922970","946308","959078","888381","937544","971145","918199","","",
"Guam","GUM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Land under cereal production (hectares)","AG.LND.CREL.HA","","107461","100060","81519","149581","120530","138360","117929","115822","114202","112100","102990","81867","94625","116977","137035","99685","139000","116700","91316","95974","88770","97691","76616","98266","78879","85292","77242","76389","72330","53262","77434","84117","104256","104178","135749","138082","145325","131394","149153","119122","126115","109123","132400","120100","109900","105100","110500","122800","128530","134570","143537","146308","167711","188322","193922","153129","176231","169939","180740","188443","158748","157154","","",
"High income","HIC","Land under cereal production (hectares)","AG.LND.CREL.HA","","165461069","163289760","164654448","164253425","163485925","165964146","170883336","171547673","164552848","155675035","166045315","159845656","166938544","169653690","173948743","177307499","175671383","171902939","172080825","176941069","185592621","183256654","168160905","180672594","181002045","174076552","162630465","157300149","167028696","167082487","163017561","225441333","220042891","217437329","207275550","215376136","218502484","200724243","195833693","202525704","202103689","197460069","195099522","201359050","200471825","192739752","200164651","209433868","201200460","185652969","192814239","195876065","198117622","196520710","197416837","196537097","191101391","188025124","189996795","190601962","194363804","191068691","","",
"Hong Kong SAR, China","HKG","Land under cereal production (hectares)","AG.LND.CREL.HA","","14821","11295","7877","8638","8538","9469","6309","9955","8067","6861","4653","3803","3144","1906","1975","1829","733","186","66","33","20","13","9","11","6","5","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Honduras","HND","Land under cereal production (hectares)","AG.LND.CREL.HA","","302521","318926","314969","350988","344171","325472","322018","324851","327876","330744","333638","336540","354162","343757","407429","460005","559630","556784","424347","420711","418308","347787","382421","449380","350621","403842","392249","408419","434230","465071","525210","516753","520265","514203","499625","496812","482132","541593","480425","443377","416706","431637","390415","380335","368828","390934","447161","392793","406564","381161","371372","377551","413829","361308","400277","371171","410354","428366","359799","403791","397555","400466","","",
"Heavily indebted poor countries (HIPC)","HPC","Land under cereal production (hectares)","AG.LND.CREL.HA","","31661336","32780817","33252776","33133711","33682802","34404366","35577230","34096202","35957564","36401108","37034411","37126410","35929917","37326310","36943029","38414293","39296504","39367907","37927999","38832504","39933929","38945072","39710669","39727492","43635470","44286778","42008395","48032031","46628699","44370945","48179038","50827146","49259084","55380242","53752664","55484289","56240614","57370133","54572353","52923100","56988546","57525040","64898253","58442290","70087272","66314357","67458329","72409934","72350109","78020421","78466056","76336240","82823190","85453652","79278873","88104225","85149006","87812652","83526610","88019320","87398459","88304128","","",
"Croatia","HRV","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","594024","643293","628545","633234","613609","635593","688437","627230","561516","583987","578927","559821","567051","543551","560116","556418","561332","563446","552508","543158","589156","586869","497948","492151","536172","466211","459710","490870","535770","519780","519280","","",
"Haiti","HTI","Land under cereal production (hectares)","AG.LND.CREL.HA","","452000","453000","453000","459000","460000","462000","468000","463000","480000","483000","487000","491000","429000","390000","378000","360000","402232","465843","444450","413000","391000","376000","410000","415000","440369","480140","476220","489911","466000","351500","405000","462879","445000","460000","445899","423200","488000","440673","490000","462000","439200","408500","414300","426200","423800","431000","541800","437000","556500","641290","627266","410026","578678","655762","438176","437237","541032","585101","243781","323531","353628","322147","","",
"Hungary","HUN","Land under cereal production (hectares)","AG.LND.CREL.HA","","3324307","3344059","3173391","3276286","3229923","3173221","3184112","3281413","3252292","3010051","3135042","3234904","3255330","3259091","3132683","3078339","3004019","3000942","2929285","2914867","2790159","2881298","2907483","2912433","2870587","2882848","2844859","2864563","2816956","2778569","2885819","2745991","2770711","2960322","2780167","2836289","2954451","2862743","2420630","2762701","3080085","2952970","2885811","3001698","2933537","2838236","2764254","2903443","2882230","2599986","2679290","2757920","2816940","2817260","2697704","2565875","2402083","2367960","2458460","2337650","2361650","2247110","","",
"IBRD only","IBD","Land under cereal production (hectares)","AG.LND.CREL.HA","","300785704","302000843","306969072","313522296","311144234","316370761","319144474","324360104","326282390","327345277","332247992","330558112","335909461","334291434","340513956","345623638","342972245","344538514","340835662","342231972","345607209","337751422","344934348","343427700","343330666","344967267","339841461","343803292","345192420","343280363","343441204","441928534","436315606","428677825","421049272","424139363","424668727","407145183","404203680","405266910","408253580","399653594","394288310","405804757","409364562","407489964","412629983","419551805","417901575","408205880","423109113","419665919","428807500","428973114","434973263","432097030","439814371","432899670","431739247","442660830","443513494","440718929","","",
"IDA & IBRD total","IBT","Land under cereal production (hectares)","AG.LND.CREL.HA","","375192879","378864679","385260195","393306689","392528698","394603813","401480509","405699833","413819547","414169569","416858993","411776678","420481653","418118869","423494146","431379546","427222710","428391912","422155833","427377467","429907445","421844433","430499095","430494158","436802580","442689930","435183145","445758283","449187112","446154108","449702387","553236094","547912974","548048316","539941053","543990035","546334237","529486814","525205502","524342221","528849617","521578245","525419641","530605981","548724113","545087555","550924830","563634699","556929250","556189993","570284538","564366985","580680161","584468160","583387640","590428421","596296774","591558799","586456320","601861833","603994001","600069137","","",
"IDA total","IDA","Land under cereal production (hectares)","AG.LND.CREL.HA","","74407175","76863836","78291123","79784393","81384464","78233052","82336035","81339729","87537157","86824292","84611001","81218566","84572192","83827435","82980190","85755908","84250465","83853398","81320171","85145495","84300236","84093011","85564747","87066458","93471914","97722663","95341684","101954991","103994692","102873745","106261183","111307560","111597368","119370491","118891781","119850672","121665510","122341631","121001822","119075311","120596037","121924651","131131331","124801224","139359551","137597591","138294847","144082894","139027675","147984113","147175425","144701066","151872661","155495046","148414377","158331391","156482403","158659129","154717073","159201003","160480507","159350208","","",
"IDA blend","IDB","Land under cereal production (hectares)","AG.LND.CREL.HA","","21984092","22455006","22667942","23586062","24982800","22583723","23827140","24670153","28731477","26560051","25586304","22553040","26518026","24617378","22824949","24543461","22372573","21679207","21204314","22518529","20301285","20994382","21929692","23630239","25185685","28768482","29059122","28922217","30800441","31569765","33106616","33983191","35630087","37062758","37469072","37056288","37653544","37346571","37028982","36996381","34496967","35395193","36742955","37352947","38780684","40277983","40033358","39911233","35413811","37745729","37115576","36555001","37559066","39072738","38712333","40187710","40752220","40212739","39390163","40210857","41153289","40382330","","",
"Indonesia","IDN","Land under cereal production (hectares)","AG.LND.CREL.HA","","9319000","10458000","9290000","10626000","9834000","11469000","10063000","11240780","10448440","11073690","10951020","10057690","11836770","11175470","10939970","10463810","10926080","11953780","11397185","11740005","12336878","11049754","12164696","12849826","12342259","13131212","12548627","13543906","13475406","13660449","13190619","14732663","13952314","13843200","15090598","15313299","14495818","15564020","15419561","15293000","14785900","14647996","14835868","15279888","15465047","15132235","15378324","15731313","15938659","15928676","15517692","15548595","15452504","15310019","15176367","15044369","16433169","17058294","14288766","13637005","13399507","14519903","","",
"IDA only","IDX","Land under cereal production (hectares)","AG.LND.CREL.HA","","52423083","54408830","55623181","56198331","56401664","55649329","58508895","56669576","58805680","60264241","59024697","58665526","58054166","59210057","60155241","61212447","61877892","62174191","60115857","62626966","63998951","63098629","63635055","63436219","68286229","68954181","66282562","73032774","73194251","71303980","73154567","77324369","75967281","82307733","81422709","82794384","84011966","84995060","83972840","82078930","86099070","86529458","94388376","87448277","100578867","97319608","98261489","104171661","103613864","110238384","110059849","108146065","114313595","116422308","109702044","118143681","115730183","118446390","115326910","118990146","119327218","118967878","","",
"Isle of Man","IMN","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Land under cereal production (hectares)","AG.LND.CREL.HA","","92239016","93852008","93571016","94306008","93277016","92729816","96062008","98822912","100872596","100377004","99673104","98043804","103788908","99388716","101366908","101465120","103723620","104340004","103473312","104067000","105508300","101083696","106613208","105175600","104056596","104049212","98573604","103542716","104055700","102536512","100243408","99499504","100066500","100184200","99450800","100300000","100167200","100904200","102091700","102402400","100271100","94470900","98603100","97805700","99519200","99236800","100833500","101155500","97171600","100075800","100625700","98969000","99299950","100160240","100210200","98613400","99566880","98093510","95126400","101113610","101521690","99558760","","",
"Not classified","INX","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Land under cereal production (hectares)","AG.LND.CREL.HA","","435435","432097","402746","387957","377250","338713","356167","362476","357940","377288","386391","372110","351351","347988","338972","349855","372500","387839","400942","444000","429000","412500","395300","406800","400100","364500","335300","324100","320000","298874","301800","300508","285112","270214","274115","293716","310116","300717","290017","279318","286118","299519","303119","310418","282115","280012","279109","322307","300004","274102","297600","315595","307995","306894","292594","281290","272627","260970","266660","265640","274670","285660","","",
"Iran, Islamic Rep.","IRN","Land under cereal production (hectares)","AG.LND.CREL.HA","","5063000","4983000","4783000","5057000","6397000","7457000","6630000","7535000","7136000","7288000","6925656","7394000","7462000","7633000","8021000","7523870","7182000","7058200","7040321","8044580","9099999","8540938","8529696","8367349","8769721","8768499","9359707","9413821","9459552","9468074","8966845","9392585","9465486","9184780","9004665","8707503","8500366","8785973","6926601","7017438","7732252","8743853","8789102","9096853","9522870","9394627","9810297","7095403","8989037","9016254","8763666","9039256","8893995","8555401","8182763","8449886","8800337","9081051","11094432","9454460","9073243","8107539","","",
"Iraq","IRQ","Land under cereal production (hectares)","AG.LND.CREL.HA","","2039339","2451402","1817699","2179046","2480608","2382202","2472043","2424096","2164583","2086907","1473575","2703420","1702530","2195900","2020209","2165110","1501322","2304070","1928900","2290625","2256525","2355875","2478675","1082953","2976717","2777350","1937925","2462050","1625275","3256300","3342575","3919501","4588136","3571340","3170300","3339580","2769600","2811650","2719504","2490350","2625720","3157390","2910900","2783550","3911030","2848000","2966750","1585596","1493415","2570483","2374286","2066057","2934105","3441479","1288713","1303200","1359359","977375","2673021","3440808","1942488","1179042","","",
"Iceland","ISL","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1455","2300","2100","1500","2200","1500","2400","3000","","",
"Israel","ISR","Land under cereal production (hectares)","AG.LND.CREL.HA","","154875","131626","131758","161125","155437","130234","147828","150647","145915","130705","137585","145940","132440","149840","143000","140410","137950","124770","121390","130970","133470","122010","134030","105800","107500","116199","115416","108570","114820","113760","104882","104906","98523","97556","98728","94445","95000","100683","73742","74846","98436","100800","92430","89130","104210","102192","103000","81533","80971","79358","74544","82891","80572","75847","64622","54248","54361","61213","50801","64372","80023","63107","","",
"Italy","ITA","Land under cereal production (hectares)","AG.LND.CREL.HA","","6387203","6485855","6299467","6244904","6056518","5991218","5768719","5954460","5922142","5863821","5515115","5335821","5278781","5270970","5124766","5145201","4504694","5138256","5129977","5110637","5006438","5115001","5127063","5074307","4821364","4849747","4693753","4570559","4627087","4413402","4401724","4225437","4075797","4103767","4216267","4223665","4195050","4082355","4173966","4137209","4134297","4284649","4147562","4276507","3995818","3801047","3933244","4037602","3480655","3476388","3438491","3498385","3459869","3392536","3275506","3253985","3140579","3092700","3066520","3011730","2978390","3010620","","",
